ULTIMA ACT. COSTO,PRODUCTO,COSTO,PROVEEDOR,CODIGO
14/10/2025,PRECINTOS P ETIQUETADORA FINA X5000U,"7,350.00",MILAN,294001483
14/10/2025,PUNTILLA COYAL ART 2098 XMT NYLON,410.00,MILAN,294001498
28/06/2025,PUNTILLA FB ART BL817 3.5CM XMT,288.42,,294001509
28/06/2025,"PUNTILLA FB ART BL855 2,2CM XMT",308.66,,294001517
14/10/2025,PUNTILLA ST ALGODON ART 0413 NEGRO XMT,910.00,MILAN,294001572
14/10/2025,PUNTILLA ST ALGODON ART 0615 XMT,685.00,MILAN,294001592
14/10/2025,PUNZON MANGO MADERA,400.00,MILAN,294001636
14/10/2025,TANZA ELAST. 0.30 ROLLO DE 30M,"1,500.00",MILAN,294001688
14/10/2025,TANZA RIGIDA 0.30 XMT,30.00,MILAN,294001697
14/10/2025,TANZA RIGIDA 0.40 ROLLO DE 100M,"1,120.00",MILAN,294001698
14/10/2025,TANZA RIGIDA 0.50 XMT,20.00,MILAN,294001700
14/10/2025,TELAR POMPONES FIBROFACIL SET X7U,"2,272.66",MILAN,294001717
31/07/2025,TOALLA JARDIN,"1,100.00",,48488
14/10/2025,CINTA FRUNCIDORA CORTINA 5 CM X MT,450.00,MERCECOR,29400121912
28/06/2025,*,729.00,,201101
28/06/2025,DIARIO INTIMO WY CHICO SEET DREAM 592,43.81,,201901
16/03/2026,BLOCK MIS APUNTES A4 X80,"3,611.11",ESTELA MONTENEGRO S.R.L.,202005
17/03/2026,BLOCK MANCHA A4 MADERA X30H,"1,444.44",ESTELA MONTENEGRO S.R.L.,202015
16/03/2026,DVD VERBATIM - MEMOREX 120MIN X 1,500.00,ESTELA MONTENEGRO S.R.L.,203120
16/03/2026,CARTUCHOS NEW JET PARA EPSON NEGRO T117,"3,611.11",ESTELA MONTENEGRO S.R.L.,204024
16/03/2026,CARTUCHOS NEW JET PARA EPSON COLOR T63,"2,611.11",ESTELA MONTENEGRO S.R.L.,204014
28/06/2025,CARTUCHOS NEW JET P/EPSON COLOR T48,197.04,,204020
28/06/2025,CARTUCHOS GTC P/EPSON NEGRO/COLOR T206,"5,376.00",,204050
28/06/2025,AURICULAR GTC BLUETOOTH HSG-178,"7,153.00",,204097
28/06/2025,AURICULAR GTC BLUETOOTH HSG-175,"6,889.00",,204106
28/06/2025,AURICULAR A6S / A7S,"6,300.00",,204118
28/06/2025,HUMIDIFICADOR GTC OQT-759 / HDG-001,"2,278.08",,204125
28/06/2025,CONSOLA PORTATIL GTC JPG-025,"5,590.00",,204126
28/10/2025,*,"7,000.00",,204145
28/06/2025,CABLE GTC 112 USB A TIPO C 1 MT,"1,409.00",,204157
28/06/2025,MOUSE GTC INALAMBRICO MIG-118,"1,538.40",,204251
28/06/2025,TECLADO-MOUSE GTC INALAMBRICO CBG-016,"4,807.00",,204301
28/06/2025,BASTON SELFIE GTC BLUETOOH MPG-103,851.10,,204311
28/06/2025,AURICULAR GTC HSG-616,"3,590.00",,204350
28/06/2025,CABLE GTC #116 USB CARGA RAPIDA,490.00,,204358
16/03/2026,LECTOR EWTTO 4133 16,55.56,ESTELA MONTENEGRO S.R.L.,204415
16/03/2026,STICKER WY HANDMADE SC,55.56,,205408
28/06/2025,ESPACIAL SHAKY IK0219,729.00,,205574
28/06/2025,OSITO TEDDY SHAKI IK0157,"1,320.00",,205581
28/06/2025,DIARIO INTIMO TRENDY 15033 / 15039,"1,722.00",,2124568726
28/06/2025,FLECOS SEDA 15CM XMT,"4,174.50",,294001127
28/06/2025,FLECOS YUTE FB ANCHO P261 88D XMT,733.70,,294001135
28/06/2025,VARIOS,1.00,,222222
12/09/2025,VELA TORNEADA CON BRILLO,139.00,,22225
12/09/2025,BENGALA FANTASIA GIBRE,550.00,,22229
12/09/2025,VELITA DE NOCHE X1,170.00,,22230
10/03/2026,CINTA RASO Nº03 X10MT,"1,690.00",MILAN,294000850
16/03/2026,CARTUCHERA / PORTACOSMETICO TRENDY 51373,"1,722.22",,26080000010
16/03/2026,CARTUCHERA / PORTACOSMETICO TRENDY 51371,"1,833.33",,26080000008
16/03/2026,CARTUCHERA / PORTACOSMETICO TRENDY 52357,"2,000.00",,26080000006
14/10/2025,CINTA FLAMENCO 39MM X10MT,"4,850.00",MILAN,294000707
28/06/2025,GALON BORDADO PAMPA 25MM XMT,197.34,,294001153
14/10/2025,HOMBRERA SIN FORRAR ART. 4 X PAR,"1,500.00",MERCECOR,294001270
14/10/2025,HOMBRERA SIN FORRAR ART. 10 X PAR,"1,400.00",MERCECOR,294001271
14/10/2025,HOMBRERA SIN FORRAR ART. 11 X PAR,"1,300.00",MERCECOR,294001272
28/06/2025,CAMION MOSQUITO BURBUJA NEW ENTER 50217 / 50218,"2,800.00",,JUG7587
16/03/2026,GOMA EVA RX COMUN COLOR 40X60 X 1,388.89,ESTELA MONTENEGRO S.R.L.,190500001809
28/06/2025,CAMION BURBUJA HOT RACING PP5793,"2,900.00",,JUG7100
14/10/2025,AGUJA MAQ. SOBRE ROJO X1,50.00,MILAN,294000073
14/10/2025,ELAST. LIGA CORDON DE ORO CC3006020 2CM XMT,480.70,MILAN,294001057
28/06/2025,GALON CORONOFITO ALGODON CRUDO FB ART M3 XMT,63.25,,294001155
28/06/2025,CABLE USB KOSMO ENTRADA COMUN,372.00,,34325
16/03/2026,SILICONA LIQUIDA CBX X 100 CC,"1,722.22",ESTELA MONTENEGRO S.R.L.,190500003725
14/10/2025,CIERRE REFORZADO DESM. NYLON 95,581.54,MILAN,294000563
28/06/2025,PEZONERA PAPEL C/SILICONA REDONDA LE BEAUTY SL678,"1,480.00",,45412
14/10/2025,CIERRE DESM. DP 30,483.60,MILAN,294000536
14/10/2025,CIERRE DESM. DP 40,532.57,MILAN,294000538
14/10/2025,CIERRE DESM. DP 50,575.42,MILAN,294000540
14/10/2025,CIERRE DESM. DP 80,710.09,MILAN,294000546
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,190500004130
31/07/2025,CHIFLES CHANCHITO CERDITO RED X6,"2,800.00",,J0000000000231
16/03/2026,ESCUADRA PIZZINI ESCOLAR 30 X 60 372230,"7,555.56",REX,190500001398
19/03/2026,*,"37,866.50",REX,190500003892
16/03/2026,TABLERO PIZZINI CON MALETIN CON ATRIL 6 POSICIONES 40 X 50 (7753),"89,166.67",ESTELA MONTENEGRO S.R.L.,190500003894
31/07/2025,CUBO MAGICO LING ZHI CUBE NA201124,"3,249.00",,JUG00087
16/03/2026,BLOCK 1028 PARA DIBUJO COLOR Nº6 X20H,"3,944.44",ESTELA MONTENEGRO S.R.L.,65635
31/07/2025,CUBO MAGICO CHICO 61201 / 54333 51281 /40103,520.00,,JUG76546
28/06/2025,TARJETA NORCA FELIZ CUMPLEAÑOS Y OTROS,280.00,,685623412
16/03/2026,BROCHE CBX PATCHWORK 33X 15 X 1,277.78,REX,190500000552
16/03/2026,CINTA RIBBONETTE CBX MET PLATA 20 X 25 MTS 12,444.44,REX,190500001098
07/01/2026,*,"7,230.00",REX,190500002918
14/10/2025,CIERRE EMPAV. 14 YKK,615.00,MERCECOR,294000564
14/10/2025,CIERRE EMPAV. 16 YKK,"1,260.00",MERCECOR,294000565
14/10/2025,CIERRE EMPAV. 40 YKK,"3,530.00",MERCECOR,294000567
31/07/2025,*,"11,380.00",,J0000000000134
31/07/2025,JUEGO DE LUDO YUYU ART. 142,"3,940.00",,JUG85200
28/06/2025,JUEGO DE MESA CRUZANDO PALABRAS,"4,960.00",,JUG313407
21/02/2026,JUEGO DE PESCA PESCAMAGIC 8249 601-0008,"8,823.00",REX,JUG54001
28/06/2025,CAMISETA COCOT MULTIFILAMENTO DAMA ART 5150/5151,"9,240.00",,2940013821
14/10/2025,CIERRE EMPAV. 50 YKK,"3,530.00",MERCECOR,294000569
14/10/2025,CIERRE EMPAV. 55 YKK,"3,700.00",MERCECOR,294000570
14/10/2025,CIERRE EMPAV. 80 YKK,"4,922.00",MERCECOR,294000575
21/02/2026,MEDIA ONE FEET ART 1000D SOQUETE DEPORTIVO HOMBRE,995.00,MERCECOR,294001350
21/02/2026,MEDIA ONE FEET ART 1000DT SOQUETE HOMBRE MAXI DEPORTIVO,995.00,MERCECOR,294001351
21/02/2026,MEDIA ONE FEET ART 1000E SOQUETE HOMBRE,995.00,MERCECOR,294001352
06/09/2025,COCOT MEDIA 3/4 LYCRA ULTRA OPACA ART 14,"2,690.00",,294000901
28/06/2025,COCOT MICROMEDIAS LYCRA INVISIBLE FANTASIA ART 529 *,1.00,,294000911
28/06/2025,COCOT MINIMEDIA LYCRA ART 84,"1,377.00",,294000916
28/06/2025,COCOT PANTY LYCRA ULTRAOPACA ART 72 T1-2-3-4,"4,807.00",,294000469
28/06/2025,COCOT PANTY LYCRA ULTRAOPACA ART 72 T5,"5,102.00",,294000470
21/02/2026,MEDIA ONE FEET ART 1501 BGN SOQUETE MAXI DEPORTIVO HOMBRE,"1,205.00",MERCECOR,294001356
12/09/2025,PILA FULLTOTAL 2016,661.00,,852001
14/10/2025,CIERRE BUZO DP 18,350.00,MERCECOR,294000507
14/10/2025,CIERRE BUZO DP 25,422.00,MERCECOR,294000509
28/06/2025,DURANIL LEGGINS STREECH SIN PIE ART. 122,"13,213.20",,122
28/06/2025,SET PARA ARMADO SURTIDO MEDIANO 12 DIVISIONES AG1581,"2,900.00",,5286
28/06/2025,VASO CAFE CON TAPA EN CAJA BIG LIFE,"1,094.50",,BA456832
28/06/2025,SORBITO MIKY YESI,833.50,,BA006059
28/06/2025,BOTELLITA PARA NIÑO CON SORBETE Y DOS MANIJAS NS071166,872.00,,BA101599
28/06/2025,CANTIMPLORA INFANTIL BA16803,945.00,,BA1680331
28/06/2025,KIT MATERO YERBERA + AZUCARERA + MATE,"3,250.00",,BA168305
28/06/2025,MATE TERMICO ACERO INOXIDABLE NOBEL HOME NH-21766,"2,750.00",,BA21766
28/06/2025,BOTELLA MOTIVACIONAL GRANDE,"8,000.00",,BA249661
28/06/2025,VASO TOMASOLITO INFANTIL,278.00,,BA352452
24/07/2025,BOTELLA HENGDA 650ML YQ10085,"12,100.00",,BA357730
28/06/2025,BOTELLA DE AGUA DE PLASTICO COMUN CON PICO,305.50,,BA409569
28/06/2025,BOTELLA DE METAL NEW YORK CITY,"1,550.00",,BA411106
28/06/2025,BOTELLA DE AGUA DE ALUMINIO CON PICO 453500,"2,000.00",,BA453500
28/06/2025,BOTELLA YESI BOLS GRANDE CON ALAS,428.00,,BA478953
28/06/2025,VASO STARBUCKS CON FAJA Y TAPA,"1,000.00",,BA48030535
28/06/2025,TERMO BALA DE ACERO INOXIDABLE 1L TEGO / M Y R,"3,690.00",,BA667625
28/06/2025,KIT MATERO EN CAJA BA814074,"1,750.00",,BA814074
30/10/2025,*,232.00,BOTONERA CORDOBESA SOCIEDAD ANONIMA,190500011382
28/06/2025,BOLITA X24 + BOLON MACAO,"1,400.90",,JUG12625
07/01/2026,*,"7,000.00",ESTELA MONTENEGRO S.R.L.,196319
11/09/2025,FORMULARIO AUTOMOTOR 04,"8,500.00",,987004
11/09/2025,FORMULARIO AUTOMOTOR 04D,"8,600.00",,987005
11/09/2025,FORMULARIO AUTOMOTOR 08,"14,300.00",,987007
30/05/2025,*,1.00,,308442
30/05/2025,*,1.00,,308182
30/05/2025,*,1.00,,308184
30/05/2025,*,1.00,,308566
30/05/2025,*,1.00,,308570
30/05/2025,*,1.00,,308680
30/05/2025,*,1.00,,308690
30/05/2025,*,1.00,,308691
30/05/2025,*,1.00,,308705
30/05/2025,*,1.00,,308706
30/05/2025,*,1.00,,308707
30/05/2025,*,1.00,,308711
30/05/2025,*,1.00,,308048
30/05/2025,*,1.00,,308213
30/05/2025,*,1.00,,308214
30/05/2025,*,1.00,,308229
30/05/2025,*,1.00,,308260
30/05/2025,*,1.00,,308263
30/05/2025,*,1.00,,307020
30/05/2025,*,1.00,,307023
30/05/2025,*,1.00,,307024
30/05/2025,*,1.00,,307029
30/05/2025,*,1.00,,307047
30/05/2025,*,1.00,,307050
30/05/2025,*,1.00,,307051
30/05/2025,*,1.00,,307115
30/05/2025,*,1.00,,307178
30/05/2025,*,1.00,,307179
30/05/2025,*,1.00,,307183
30/05/2025,*,1.00,,307390
30/05/2025,*,1.00,,307413
30/05/2025,*,1.00,,307452
16/03/2026,BOLSA REGALO ROMI MADERA KRAFT (45 X 48),444.44,REX,190500010472
28/06/2025,SET PULSERA DISNEY PRINCESA 74381 52890,"2,970.00",,JUG6544
16/03/2026,BOLSA DE ORGANZA MEDIANA 18CM X 13CM,222.22,DOMI,204604
16/03/2026,BOLSA DE ORGANZA GRANDE 30CM X 20CM,277.78,DOMI,204606
27/12/2023,PAD DESMAQUILLANTE TRENDY BEAUTY 14522 - 14623,"1,700.00",,0114622
28/06/2025,FLECOS ALGODON MANTA FB ART BL261/0 CRUDO XMT,506.00,,294001119
28/06/2025,FLECOS ALGODON MANTA FB ART BL261/1 BLANCO XMT,506.00,,294001120
14/10/2025,ELASTICO AFELPADO LISO 3CM X MT,750.00,MERCECOR,E212321
04/11/2025,AUTOADHESIVOS ILUSTRACION 210X290MM X HOJA (MP),280.00,MULTIPAPEL,2504004
04/11/2025,CARTON GRIS 2 MM (N° 12),"1,750.00",PAPELERA CUMBRE,2504017
04/11/2025,CARTON GRIS 3 MM (N° 8),"2,590.00",PAPELERA CUMBRE,2504019
04/11/2025,"FOX, OBRA ALCALINO 180 GRS 215 X 355 MM X 250 HJS (MP)","15,000.00",MULTIPAPEL,2504028
04/11/2025,"FOX, OBRA ALCALINO 210 GRS 220 X 340 MM 125 HJS (MP)","15,000.00",MULTIPAPEL,2504033
04/11/2025,"FOX, OBRA ALCALINO 240 GRS A4 X 125 HJS (MP)","15,000.00",MULTIPAPEL,25040313
04/11/2025,PAPEL FOTOGRAFICO GLOSSY PS A4 160 GR X HOJA,105.00,PAPELERA CUMBRE,P455655
04/11/2025,PAPEL OBRA DIBUJO A3 240 GR X HOJA,280.00,MULTIPAPEL,2504116
04/11/2025,PAPEL OBRA DIBUJO POROSO A3 200 GR PQ. 50 HJS,"17,000.00",MULTIPAPEL,2504127
04/11/2025,PAPEL OBRA DIBUJO POROSO A3 200 GR X HOJA,360.00,MULTIPAPEL,25041271
04/11/2025,PAPEL VEGETAL LEGAL 90 GR X 50 HJS,"15,000.00",MULTIPAPEL,25041331
04/11/2025,* USAR EN PAPELERA,1.00,PAPELERA CUMBRE,2504141
04/11/2025,RESMA PUNAX A4 75GR,"4,063.00",,2504142000
11/09/2025,FORMULARIO AUTOMOTOR 03,"8,500.00",,987003
11/09/2025,FORMULARIO AUTOMOTOR 24,600.00,,987012
11/11/2025,IMPRESION KRAFT 200GR A3 (COLOR) 🏳️‍🌈,"1,500.00",,17135
16/03/2026,PORTAMINA SABONIS P-205 0.5 / 0.7 MM,333.33,ESTELA MONTENEGRO S.R.L.,303154
31/07/2025,SET MATE CARBURITO,"2,000.00",,JUG31720251
31/07/2025,CUNERO PELOTAS MOZART TOYA BABY PUPEE,"1,584.00",,J0000000000235
11/12/2025,MUÑECA TINY FASHION FANTASY 53479,"7,405.00",REX,JUG4547
31/07/2025,"SET COCINA LOVE LIFE SD19058 NO,3384 3384","2,200.00",,JUG0254
14/10/2025,ACEITE ART. LP85 TRANSP. 500ML,"3,554.02",MILAN,294000015
14/10/2025,"AGUJA CIRCULAR Nº4,5",990.00,MILAN,294000028
14/10/2025,AGUJA CROCHET CBX DOBLE PUNTA X1,940.00,MILAN,294000036
14/10/2025,AGUJA MAQ. DE ETIQUETAR FINA CY2002 X CAJA 5,"4,450.00",MILAN,294000064
14/10/2025,AGUJA PASACINTA Y ELASTICO X UNIDAD,250.00,MILAN,294000080
14/10/2025,AGUJA TUNECINA CBX Nº 2 Y 3 X 1,"1,019.20",MILAN,294000103
14/10/2025,"AGUJA TUNECINA CBX Nº 3,5 Y 4 X 1","1,118.00",MILAN,294000104
14/10/2025,AGUJA VELOZ SET X2,"3,650.00",MILAN,294000110
14/10/2025,ALFILETERO TOMATE MEDIANO X4,"3,342.07",MILAN,294000131
14/10/2025,ALFILETERO TOMATE CHICO X1,760.40,MILAN,2940001311
14/10/2025,BASE P TEJER TOTORA RECTANGULAR 30X15CM,"1,370.28",MILAN,294000195
14/10/2025,BOTON COCO 22,70.00,BOTONERA CORDOBESA SOCIEDAD ANONIMA,BO272022
14/10/2025,CINTA AURORA 6MM XMT,330.00,MILAN,294000608
14/10/2025,CINTA BABY GROSS 10MM X50MT,"4,285.00",MILAN,294000609
14/10/2025,CINTA FLAMENCO 39MM XMT,495.00,MILAN,294000708
14/10/2025,CINTA FLORES VINTAGE 12 MM XMT,400.00,MILAN,294000711
27/03/2026,RIBB PAQ. CORTADO DE 1M,"9,000.00",MILAN,294001653
31/07/2025,TANZA ELAST. CRISTAL TEC X 16M,370.00,,294001695
14/10/2025,TELAR CUADRADO PLASTICO,"5,522.56",MILAN,294001715
14/10/2025,TIJERA GERMANIA ART 250/7 SASTRE,"9,525.00",MILAN,294001731
14/10/2025,"TIJERA MUNDIAL PUNTO ROJO PLASTICA 9 1/2""","15,635.00",MILAN,294001752
11/10/2025,PELOTA MESH CHICA 24901-02-03 (612663),890.00,"MEGA, MEGA",303863
31/07/2025,CARRERA DE MENTE RUIBAL,"33,250.00",,5022848978759
31/07/2025,JUEGO DE LA OCA YUYU,"3,940.00",,J0000000000028
11/12/2025,JUEGO DE DAMAS NUPRO 1023,"7,127.00",,J0000000000032
31/07/2025,PELOTA DE PING PONG X UNIDAD,500.00,,J0000000000208
31/07/2025,RELOJ DE PARED GIROD JH-5082,"13,500.00",,4676346
14/10/2025,"AGUJA CROCHET MANGO SILICONA CBX Nº 5,5","1,210.00",MILAN,294000044
14/10/2025,ALFILER GANCHO ESTILETO ART.36 Nº4 X12U,"1,560.98",MILAN,294000123
14/10/2025,BOTON CALEDONIA 32 X UNIDAD,120.00,BOTONERA CORDOBESA SOCIEDAD ANONIMA,BO271032
14/10/2025,BOTON MEDIA LENTEJA TRANSPARENTE 28,45.00,BOTONERA CORDOBESA SOCIEDAD ANONIMA,BO270628
14/10/2025,"PUNTILLA ST ALGODON ART 0236 2,5CM XMT",750.00,MILAN,ME054
31/07/2025,HELICOPTERO CON LANZADOR HELICOPTER 52146 61333,"1,500.00",,7450077124421
31/07/2025,"WILD HORSE SERIES NO,044","7,200.00",,8881680746998
31/07/2025,JUEGO DE MESA CHANCHO - TUTI FRUTI TOTOGAMES,"6,690.00",,JUG121300
31/07/2025,JUEGO DE MESA RUIBAL 4 EN LINEA 1260,"8,500.00",,JUG306273
31/07/2025,KIT PARRILLA BARBACOA 137 IRV,"5,910.00",,JUG32454533
31/07/2025,PELOTA DE FUTBOL POTENTE PU,"27,000.00",,205570
31/07/2025,PORTARETRATO PERLADO 13 X 18 PF108.5,"2,110.00",,190500001640
14/10/2025,BASE P TEJER TOTORA OVALADO 30X15CM,"1,370.28",MILAN,294000189
14/10/2025,CINTA BROOKLYN ESCOCESA VICKY 10MM XMT,520.00,MAKOR S.A.,294000652
15/09/2025,CINTA BIES ANCHO 30 MM,200.00,,ME360
14/10/2025,CORDON SEDA ARCO IRIS ESPAÑOL MATIZADO ART 2011 X30MT,"3,931.22",MILAN,294000945
14/10/2025,ELAST. BROTEL ENVIVADO RASO 13MM ART 390012 XMT,560.00,,294001060
14/10/2025,ELAST. BROTEL ENVIVADO RASO 20MM ART 390597 XMT,760.00,,294001061
14/10/2025,PUNTILLA ST NYLON ART 1067 1CM XMT,280.00,MILAN,294001620
31/07/2025,TERMINAL DE CORDON NYLON CON TAPA,105.00,,ME235698
14/10/2025,CINTA BIG DREAM 25MM X10MT,"4,500.00",MILAN,294000667
14/10/2025,CINTA BIG DREAM 25MM XMT,480.00,MILAN,294000668
28/06/2025,GALON FB ROCOQUITO LUREX ART 389 XMT,303.60,,294001162
14/10/2025,HEBILLA PARA MOCHILA 5CM X UNIDAD,760.00,MILAN,294001218
14/10/2025,OJO DE SEGURIDAD Nº16 X PAR,140.00,MILAN,294001413
28/06/2025,PUNTILLA FB ART BL878 XMT,318.78,,294001520
14/10/2025,PUNTILLA ST ALGODON ART 0100 NEGRO XMT,223.00,MILAN,294001535
14/10/2025,"PUNTILLA ST NYLON ART 1049 1,5CM XMT",300.00,MILAN,294001619
14/10/2025,TELAR BOINA PLASTICO,"5,522.56",MILAN,294001713
28/06/2025,CANCAN STREECH NIÑO T 8,"4,600.00",,M12239
28/06/2025,CORDON GITANA YUTE FB ART 12/88 X 25MTS,"4,417.10",,ME240022
28/06/2025,CIERRE YKK METAL 25,2.20,,ME54687
28/06/2025,MOCHILA HEAD NEGRA 21893,"21,300.00",,ACC136650
28/06/2025,MOCHILA BOLSO AQUARELLA CON BOTON EN BOLSILLO,"27,000.00",,MO21555
11/11/2025,ANILLADO 2 (HASTA 140 HJS),"2,300.01",,17081
11/11/2025,ANILLADO 1 (HASTA 85 HJS),"2,000.00",,17067
28/06/2025,MONO BRAZO LARGO,"2,475.00",,RE154213
28/06/2025,PORTARETRATO METALIZADO PLASTICO 13 X 18,"3,200.00",,190500001641
11/11/2025,IMPRESION ILUSTRACION 250GR A4 (COLOR) 🏳️‍🌈,700.00,,17105
28/06/2025,PARAGUAS INFANTIL 688,"4,500.00",,RE1913933
20/12/2025,CINTA RASO Nº12 XMT,496.23,MILAN,294000857
11/11/2025,"BALLENA 0,7MM XMT",211.60,MILAN,294000168
28/06/2025,ARGOLLA CORPIÑO 6MM DE METAL X UNIDAD,40.48,,294000137
14/10/2025,BASE P TEJER TOTORA SOL 30X30CM,"3,230.74",MILAN,294000197
28/06/2025,BOMBACHA COLALESS MICROFIBRA PUNTOS KIERO,800.25,,294000245
13/11/2025,BOMBACHA UNIVERSAL JALINE ART 0443,"3,406.32",,294000335
28/06/2025,TRENZA CHATA YUTE FB ART 717/88 XMT,"3,520.57",,294001764
28/06/2025,TRENZA ANCHA YUTE FB ART 730/88 X10MT,"8,200.08",,294001766
01/07/2025,APILABLE DURAVIT PIRAMIDE ANILLOS 653,"4,055.00",,305120
04/04/2026,PEN DRIVE SANDISK 128 GB,"14,400.00",INNOVA,300101
04/04/2026,PEN DRIVE SANDISK 32 GB,"9,000.00",INNOVA,300802
04/04/2026,PEN DRIVE SANDISK 64 GB,"10,500.00",INNOVA,300904
28/06/2025,BOMBACHA UNIVERSAL MICROFIBRA PUNTOS KIERO,"1,599.30",,294000350
30/10/2025,CIERRE INVISIBLE 50,"1,170.00",MILAN,294000581
28/06/2025,GANCHO DESMONTABLE METAL PARA CORPIÑO 13MM X UNIDAD,50.60,,294001193
21/02/2026,MEDIA ONE FEET ART 1000R SOQUETE RAYADO HOMBRE,995.00,MERCECOR,294001355
14/10/2025,TIJERA GERMANIA ART 125/6 MODISTA,"5,780.00",MILAN,294001725
16/03/2026,TAPA ENCUADERNAR BINDERPLUS A4 X 50,"7,777.78",ESTELA MONTENEGRO S.R.L.,190500003996
04/11/2025,ILUSTRACION BRILLANTE & MATE 215 X 355 MM. 150 GR 125 HJS,"8,500.00",MULTIPAPEL,2504044
16/03/2026,GOMA BORRAR STAEDLER LAPIZ X 30,"18,888.89",ESTELA MONTENEGRO S.R.L.,190500001867
16/03/2026,GOMA BORRAR STAEDLER LAPIZ X 1,722.22,ESTELA MONTENEGRO S.R.L.,190500001866
16/03/2026,PORTAMINA SABONIS P-310 0.5 / 0.7 / 2 MM P310,833.33,ESTELA MONTENEGRO S.R.L.,190500001985
16/03/2026,LAPIZ NEGRO SABONIS GRAFITO HB X 12 6000,"2,000.00",ESTELA MONTENEGRO S.R.L.,190500002101
17/03/2026,MOÑO PACKERS MAGICOS OPACO MAXI X 50,"2,166.67",ESTELA MONTENEGRO S.R.L.,190500002649
07/01/2026,ABROCHADORA SABONIS MINI 24/6-26/6 PS-553,"2,225.00",ESTELA MONTENEGRO S.R.L.,190500000035
17/03/2026,SILICONA LIQUIDA CBX X 30 CC,777.78,ESTELA MONTENEGRO S.R.L.,190500003727
30/05/2025,*,1.00,,190500002678.999969482421875
30/05/2025,*,1.00,,190500002680.999969482421875
30/05/2025,*,1.00,,190500002152.999969482421875
30/05/2025,*,1.00,,190500002148.999969482421875
30/05/2025,*,1.00,,190500002147.999969482421875
30/05/2025,*,1.00,,190500002146.999969482421875
16/03/2026,LIBRO ARTEMISA MANDALAS FORMAS Y COLORES,"1,222.22",ESTELA MONTENEGRO S.R.L.,190500002152
14/10/2025,FISELINA (NOVOTEC) METAL (1M ANCHO) XMT,"1,390.00",MILAN,294001110
28/06/2025,HILO DE POLIESTER CUCITO DE 90MT,321.31,,294001234
14/10/2025,BOLSA DE ORGANZA CBX 7X10CM X UNIDAD,186.80,MILAN,294000229
13/11/2025,BOMBACHA UNIVERSAL JALINE ART 0073,"3,342.60",,294000328
13/11/2025,BOMBACHA UNIVERSAL JALINE ART 0083,"3,406.32",,294000329
13/11/2025,BOMBACHA VEDETINA JALINE ART 011,"2,147.04",,294000360
14/10/2025,CINTA GROSS Nº1 6MM XMT,130.00,MILAN,294000732
28/06/2025,BROCHE CAREY EXTRA CHICO / XS,"1,000.00",,ACC359
16/03/2026,GOMA BORRAR EN BLISTER CORAZON / UNICORNIO,"1,611.11",WINNIE,LI7170
04/04/2026,BILLETERA AMAYRA 673500033,"6,300.00",NECY,210584
28/06/2025,CARRUAJE CON LUZ Y SONIDO 22127 CARROZA CON MUSICA,"22,060.00",,JUG60089
16/03/2026,*,0.00,ESTELA MONTENEGRO S.R.L.,202129
28/06/2025,PEINE DIBUJO DIENTE MED 7168 FLOWER WORLD,500.00,,ACC7168
04/04/2026,BILLETERA AMAYRA 673500076,"11,900.00",INNOVA,210585
28/06/2025,BOTELLA TRENDY 12527,"2,310.00",,REG9785
14/10/2025,CIERRE COMUN 45,318.00,MERCECOR,294000520
28/06/2025,PANDERETA X3 BABY TOYS HM40040 14*11,"4,000.00",,JUG2112000
31/07/2025,ANIMALES DE LA SELVA X 12 WILD ANIMAL CHT2728925,"8,500.00",,JUG3223399
14/10/2025,ARGOLLA LLAVERO CON CADENA 25MM X UNIDAD,66.00,MILAN,294000139
11/11/2025,ARGOLLA METAL 15MM X UN,30.00,,190500000789
11/11/2025,TRIANGULO METAL 10MM X UN,25.00,,190500000791
17/03/2026,SET DE ESCOLAR KATANA 515810,"2,333.33",ESTELA MONTENEGRO S.R.L.,LI5589
31/07/2025,KIT COCINA FAST FOOD 0208,"3,184.00",,JUG5342
07/01/2026,SOBRE FW A4 C/ABROJO Y SOLAPA P/CARPETA,"1,921.00",REX,190500003756
11/12/2025,CANASTA CON FRUTAS Y VERDURAS 20 PIEZAS DURAVIT 506,"6,355.90",REX,J0000000000107
04/11/2025,*,1.00,,2504145
04/11/2025,*,1.00,,2504077
04/11/2025,*,0.00,,190500003366
17/03/2026,ROLLO TERMICO GTC 57 X 20 X 1,500.00,ESTELA MONTENEGRO S.R.L.,190500003518
03/07/2025,ORGANO PIANO PILA SD20827,"11,922.00",,J0000000000161
28/06/2025,*,"1,200.00",,204217
07/01/2026,MOUSE PAD C/ GEL ONLY,"3,300.00",ESTELA MONTENEGRO S.R.L.,205000
28/06/2025,GORRA CAP DAMA CON BORDADO SKORA 36648,"5,900.00",,164205
25/09/2025,BRODERIE PASACINTA BATISTA 3CM 1395 XMT,700.00,,294000450
28/06/2025,LLAVERO STICH STITCH SUMPLE,"1,200.00",,ACC746
28/06/2025,GEL CON GLITTER LUYAG PEQUEÑO,"1,000.00",,190500000370
28/06/2025,PARCHE DT ADHESIVO DOBLADILLO ART 40122 X10M,"3,281.66",,294001429
07/06/2025,AROS STRASS X PAR,250.00,,190500000003.999969482421875
07/06/2025,PULSERA HOMBRE ACERO DORADA,"2,800.00",,190500000000.999969482421875
